method,accuracy,DPD,EOD,OCF_violation,OCF_violation_ratio_spread,rho_AIAN_NH,TPR_AIAN_NH,FPR_AIAN_NH,PPV_AIAN_NH,pi_AIAN_NH,rho_Asian_NH,TPR_Asian_NH,FPR_Asian_NH,PPV_Asian_NH,pi_Asian_NH,rho_Black_NH,TPR_Black_NH,FPR_Black_NH,PPV_Black_NH,pi_Black_NH,rho_Hispanic,TPR_Hispanic,FPR_Hispanic,PPV_Hispanic,pi_Hispanic,rho_Other_NH,TPR_Other_NH,FPR_Other_NH,PPV_Other_NH,pi_Other_NH,rho_White_NH,TPR_White_NH,FPR_White_NH,PPV_White_NH,pi_White_NH,fold,model,auroc,brier
Unmitigated,0.660257061572851,0.19313833521714163,0.20173724733142892,0.34362276917324025,1.129391957837205,0.41627689429373244,0.5134615384615384,0.3242258652094718,0.6,0.4864359214218896,0.4857659286037054,0.6275229357798165,0.4394484412470024,0.31813953488372093,0.24627202892001807,0.4747878182725911,0.6066784869976359,0.3047619047619048,0.7195934104451455,0.5631552670993509,0.5153928444074647,0.6276276276276276,0.413855558071089,0.5784132841328413,0.4749791988589088,0.44622345979812045,0.5799540933435348,0.334610472541507,0.5912636505460218,0.4549251653324051,0.32225450919032306,0.4968119302313327,0.23771119391557347,0.503041297620318,0.3262951563816434,0,LogisticRegression,0.6878234259080229,0.20816878448936443
DP,0.6525731558626295,0.0007916074822242325,0.11650291195614934,0.2544646115609216,0.8363540243346997,0.3648269410664172,0.4576923076923077,0.2768670309653916,0.6102564102564103,0.4864359214218896,0.36556710347943966,0.4935779816513762,0.3237410071942446,0.33250927070457353,0.24627202892001807,0.36495257114328505,0.4872931442080378,0.20723809523809525,0.751937984496124,0.5631552670993509,0.36491144657078334,0.47097097097097096,0.26896083314466834,0.613029315960912,0.4749791988589088,0.3647754959972154,0.49885233358837033,0.25287356321839083,0.6221374045801527,0.4549251653324051,0.36493062122801284,0.5461347947515414,0.2771680873870655,0.4883151149641915,0.3262951563816434,0,LogisticRegression,0.6878234259080229,0.20816878448936443
EO,0.6023039016460069,0.11351650036618521,0.09406760361767197,0.2930113221823068,0.9630462836445659,0.5640785781103835,0.675,0.45901639344262296,0.582089552238806,0.4864359214218896,0.5097153185720741,0.655045871559633,0.46223021582733814,0.31648936170212766,0.24627202892001807,0.6232318189382593,0.749113475177305,0.46095238095238095,0.6769025367156208,0.5631552670993509,0.5622251277784381,0.6719219219219219,0.4629839257414535,0.5676532769556025,0.4749791988589088,0.5788374521406195,0.7176740627390972,0.46296296296296297,0.5640408899579074,0.4549251653324051,0.5466221908904899,0.7204510723507404,0.46243172885508654,0.43005882167909154,0.3262951563816434,0,LogisticRegression,0.6878234259080229,0.20816878448936443
Calibration,0.6854297906929486,0.5612943741489738,0.6699731060359597,0.30302094982188454,1.0437367678193366,0.5416276894293732,0.6519230769230769,0.4371584699453552,0.5854922279792746,0.4864359214218896,0.01717126073203796,0.04220183486238532,0.008992805755395683,0.6052631578947368,0.24627202892001807,0.5784656348810118,0.7121749408983451,0.4060952380952381,0.693325661680092,0.5631552670993509,0.3914180435041008,0.5027527527527528,0.29069504188363143,0.610081992104464,0.4749791988589088,0.37104072398190047,0.5080336648814078,0.2567049808429119,0.6228893058161351,0.4549251653324051,0.13537027803091525,0.247562839226432,0.08103210657955183,0.5967229772640671,0.3262951563816434,0,LogisticRegression,0.6878234259080229,0.20816878448936443
OCF,0.6636354399512294,0.31688323817933284,0.33812382067798813,0.0002513070519488719,0.0006850397850028944,0.4864359214218896,0.5923076923076923,0.3861566484517304,0.5923076923076923,0.4864359214218896,0.24627202892001807,0.3577981651376147,0.20983213429256595,0.3577981651376147,0.24627202892001807,0.5631552670993509,0.6959219858156028,0.392,0.6959219858156028,0.5631552670993509,0.4750980625222869,0.5873373373373373,0.3735567127009282,0.587190392794596,0.4749791988589088,0.4549251653324051,0.586840091813313,0.3448275862068966,0.586840091813313,0.4549251653324051,0.3265186815454186,0.5017652948305844,0.2416415701087234,0.5014218009478673,0.3262951563816434,0,LogisticRegression,0.6878234259080229,0.20816878448936443
Unmitigated,0.6611672064520226,0.2016892495208597,0.21089442090295973,0.3517706283122758,1.1486107770773422,0.43766816143497755,0.5477477477477477,0.32857142857142857,0.6229508196721312,0.4977578475336323,0.49031365313653136,0.6273408239700374,0.4455324357405141,0.31514581373471307,0.246309963099631,0.46980656013456684,0.6014470907446487,0.3036529680365297,0.7142857142857143,0.5579478553406224,0.5223529411764706,0.6290322580645161,0.4261744966442953,0.5709459459459459,0.47411764705882353,0.4501347708894879,0.5825892857142857,0.34051724137931033,0.5860778443113772,0.4528301886792453,0.32066369165561087,0.4981265502137316,0.23463801483755437,0.5071731771532965,0.3264873619462775,1,LogisticRegression,0.6887450891113575,0.20802524098786015
DP,0.654486568870261,0.00017801445990339726,0.11255819542484755,0.2533880201868209,0.8273692780015336,0.3650224215246637,0.47387387387387386,0.2571428571428571,0.6461916461916462,0.4977578475336323,0.36485239852398527,0.49063670411985016,0.3237454100367197,0.33122629582806573,0.246309963099631,0.3648444070647603,0.48658426288815193,0.21118721461187215,0.7441217150760719,0.5579478553406224,0.3649411764705882,0.4660049627791563,0.2738255033557047,0.6054158607350096,0.47411764705882353,0.3648921832884097,0.48586309523809523,0.2647783251231527,0.602954755309326,0.4528301886792453,0.3649787212047072,0.5520080215314792,0.27431568176004095,0.4937921918519568,0.3264873619462775,1,LogisticRegression,0.6887450891113575,0.20802524098786015
EO,0.622823394932368,0.10487626427988411,0.08582558387060235,0.2586023980090085,0.8443954026414828,0.526457399103139,0.6486486486486487,0.40535714285714286,0.6132879045996593,0.4977578475336323,0.45525830258302585,0.601123595505618,0.40758873929008566,0.3252279635258359,0.246309963099631,0.56013456686291,0.6840518540850166,0.4037290715372907,0.6813813813813814,0.5579478553406224,0.5028235294117647,0.6116625310173698,0.4046979865771812,0.5767430978006551,0.47411764705882353,0.5192048517520216,0.6607142857142857,0.4020935960591133,0.5762491888384166,0.4528301886792453,0.49775151191440237,0.6869491793762204,0.4060373497058071,0.45058672851258263,0.3264873619462775,1,LogisticRegression,0.6887450891113575,0.20802524098786015
Calibration,0.6837111830824919,0.5055214038687472,0.5921145864966091,0.2834439491563373,0.9597833788845025,0.5327354260089686,0.6576576576576577,0.4089285714285714,0.6144781144781145,0.4977578475336323,0.0272140221402214,0.06554307116104868,0.014687882496940025,0.5932203389830508,0.246309963099631,0.48814129520605554,0.620440156768164,0.3211567732115677,0.7091660923501034,0.5579478553406224,0.33458823529411763,0.43622828784119105,0.24295302013422818,0.6181434599156118,0.47411764705882353,0.44305929919137466,0.5758928571428571,0.333128078817734,0.5885931558935361,0.4528301886792453,0.13125656885887077,0.24217636814607632,0.07748784855461754,0.6023890784982935,0.3264873619462775,1,LogisticRegression,0.6887450891113575,0.20802524098786015
OCF,0.6639486886391058,0.3111766376284453,0.31847174751789387,0.0011399185281446432,0.002481389578163684,0.4977578475336323,0.6162162162162163,0.38035714285714284,0.6162162162162163,0.4977578475336323,0.2467712177121771,0.3595505617977528,0.20991432068543453,0.35887850467289717,0.246309963099631,0.5579478553406224,0.6780223093156467,0.4063926940639269,0.6780223093156467,0.5579478553406224,0.4752941176470588,0.5811414392059553,0.37986577181208053,0.5797029702970297,0.47411764705882353,0.4528301886792453,0.5848214285714286,0.3435960591133005,0.5848214285714286,0.4528301886792453,0.3264873619462775,0.5063064013932134,0.23931951905858276,0.5063064013932134,0.3264873619462775,1,LogisticRegression,0.6887450891113575,0.20802524098786015
