model,method,auroc_mean,accuracy_mean,DPD_mean,EOD_mean,OCF_violation_mean,TPR_Black_NH_mean,rho_Black_NH_mean,d_TPR_Black_NH_vs_unmit
LogisticRegression,Calibration,0.6876863434567108,0.6844816525565742,0.5618392709404239,0.6673483349149756,0.30046911099870643,0.6939556866458446,0.5669171657806499,0.09032610710164757
LogisticRegression,DP,0.6876863434567108,0.6527804595842869,0.0004540135621639796,0.11396459074548666,0.2556934544604722,0.4847346544879388,0.36487753682141644,-0.11889492505625826
LogisticRegression,EO,0.6876863434567108,0.6108094181649796,0.10856236935654981,0.08821747151876891,0.2801491655216481,0.7138705191621666,0.5920645863206226,0.11024093961796955
LogisticRegression,OCF,0.6876863434567108,0.6639622438929574,0.31752842988991026,0.3348014196595061,0.0003566428307546496,0.6870850480701168,0.5623892631301554,0.08345546852591978
LogisticRegression,Unmitigated,0.6876863434567108,0.6610131193063783,0.1962435184832084,0.19648104301258768,0.3362112826633534,0.603629579544197,0.4749149404410577,0.0
MLP,Calibration,0.6966036703813906,0.6876898730171033,0.5918511112262099,0.7009764357233033,0.3094509743610906,0.7340526463017383,0.605932293683657,0.10285482715835581
MLP,DP,0.6966036703813906,0.6574213308510318,0.0006866472570324911,0.11441942165819725,0.25541758361380207,0.48762056226911693,0.36517579697054653,-0.14357725687426554
MLP,EO,0.6966036703813906,0.6291797949999011,0.11841191040543038,0.10672581578620866,0.24588639024549636,0.6914484798836542,0.5608533370663811,0.060250660740271744
MLP,OCF,0.6966036703813906,0.6687479028367519,0.3173489902492014,0.3367224873134459,0.0009414190557763913,0.69365734060526,0.5624865762569742,0.0624595214618775
MLP,Unmitigated,0.6966036703813906,0.6663525329081175,0.18353165739796895,0.17434385151661125,0.2922122662406569,0.6311978191433825,0.49803800027823514,0.0
RandomForest,Calibration,0.6954179807081431,0.6872377256273687,0.5648810624669987,0.6738307242815662,0.2950820767202611,0.7114329174803093,0.5808387146811373,0.10292099133514965
RandomForest,DP,0.6954179807081431,0.6566160998504252,0.0026037808781843143,0.12082741838593818,0.2581540417466133,0.48984667866985276,0.36491082022963744,-0.11866524747530693
RandomForest,EO,0.6954179807081431,0.5983448044738415,0.10615563438956414,0.08154115468464473,0.3143112743821048,0.7571358018797321,0.6368318278179698,0.14862387573457236
RandomForest,OCF,0.6954179807081431,0.6674168560403031,0.3162741405050999,0.33433927224679605,0.0017214412652062183,0.6929478401819903,0.5624236806142373,0.0844359140368306
RandomForest,Unmitigated,0.6954179807081431,0.6650138662577623,0.22520837824787537,0.2153032626680505,0.3509190752325587,0.6085119261451597,0.4722609697526853,0.0
XGBoost,Calibration,0.6972860991081251,0.6879413481983395,0.5820835348442887,0.6930234323374282,0.3058635120915906,0.7227545006123401,0.593515613164205,0.09082176615665616
XGBoost,DP,0.6972860991081251,0.657647406820357,0.0010916373485305275,0.11366816804541066,0.25597882896091223,0.4872697225316552,0.36521037090362646,-0.1446630119240288
XGBoost,EO,0.6972860991081251,0.6145179176127928,0.11224012742562976,0.09086208894647302,0.2781851232893851,0.7217430088166403,0.5961009749434318,0.08981027436095634
XGBoost,OCF,0.6972860991081251,0.6689079334477956,0.316107122408017,0.33362662604565585,0.0021543163980878998,0.6922413801479452,0.5623217056295033,0.06030864569226124
XGBoost,Unmitigated,0.6972860991081251,0.6665811485598965,0.1878253016191482,0.17694328653336377,0.29217660378649585,0.631932734455684,0.49933348348958556,0.0
