model,method,accuracy_mean,accuracy_std,DPD_mean,DPD_std,EOD_mean,EOD_std,OCF_violation_mean,OCF_violation_std,OCF_violation_ratio_spread_mean,OCF_violation_ratio_spread_std,rho_AIAN_NH_mean,rho_AIAN_NH_std,TPR_AIAN_NH_mean,TPR_AIAN_NH_std,FPR_AIAN_NH_mean,FPR_AIAN_NH_std,PPV_AIAN_NH_mean,PPV_AIAN_NH_std,pi_AIAN_NH_mean,pi_AIAN_NH_std,rho_Asian_NH_mean,rho_Asian_NH_std,TPR_Asian_NH_mean,TPR_Asian_NH_std,FPR_Asian_NH_mean,FPR_Asian_NH_std,PPV_Asian_NH_mean,PPV_Asian_NH_std,pi_Asian_NH_mean,pi_Asian_NH_std,rho_Black_NH_mean,rho_Black_NH_std,TPR_Black_NH_mean,TPR_Black_NH_std,FPR_Black_NH_mean,FPR_Black_NH_std,PPV_Black_NH_mean,PPV_Black_NH_std,pi_Black_NH_mean,pi_Black_NH_std,rho_Hispanic_mean,rho_Hispanic_std,TPR_Hispanic_mean,TPR_Hispanic_std,FPR_Hispanic_mean,FPR_Hispanic_std,PPV_Hispanic_mean,PPV_Hispanic_std,pi_Hispanic_mean,pi_Hispanic_std,rho_Other_NH_mean,rho_Other_NH_std,TPR_Other_NH_mean,TPR_Other_NH_std,FPR_Other_NH_mean,FPR_Other_NH_std,PPV_Other_NH_mean,PPV_Other_NH_std,pi_Other_NH_mean,pi_Other_NH_std,rho_White_NH_mean,rho_White_NH_std,TPR_White_NH_mean,TPR_White_NH_std,FPR_White_NH_mean,FPR_White_NH_std,PPV_White_NH_mean,PPV_White_NH_std,pi_White_NH_mean,pi_White_NH_std,auroc_mean,auroc_std,brier_mean,brier_std
LogisticRegression,Calibration,0.6844816525565742,0.0007281928066461223,0.5618392709404239,0.031912976404664554,0.6673483349149756,0.03913769876679652,0.30046911099870643,0.009804958643429095,1.007334916788612,0.030445290348300288,0.4891202454852692,0.043691708427259515,0.6155672079741844,0.03922610096163462,0.36795781019757723,0.04815153337518663,0.6171613217309595,0.01678137009743471,0.4892754268854089,0.005677677820888528,0.013996721000808579,0.009337581659748365,0.03405085190876774,0.021449418302428493,0.007455511355808379,0.005461747843164095,0.6940556737345319,0.16577459145028506,0.24476858231773577,0.0022346051186906543,0.5669171657806499,0.04361384520354119,0.6939556866458446,0.03892467186045838,0.403750131797706,0.04913507225097297,0.6894547182493965,0.013439548829859625,0.5623217056295033,0.00299829166170077,0.39488297276979417,0.03885734410536777,0.506786580868983,0.04443439559593941,0.29419543488296046,0.033664814303605524,0.608459096812441,0.006134615186549489,0.47360785135994854,0.0020842024911834765,0.4246503004082169,0.03728935954920762,0.5705942286787911,0.04767690328829814,0.3012017639239094,0.032248927765603744,0.6162397950035654,0.015160791844303932,0.45830832636044,0.005362368475893033,0.13585540270134086,0.006326176872912414,0.24703438837518923,0.008989778873796896,0.08201401666093808,0.0051798099919344726,0.5935730278266034,0.00728765302459668,0.3262736836797385,0.00026820435532661077,0.6876863434567108,0.000991967422469803,0.2082399461845804,0.00023806724423919274
LogisticRegression,DP,0.6527804595842869,0.0010667150696919859,0.0004540135621639796,0.00025452272945317253,0.11396459074548666,0.004324195110828093,0.2556934544604722,0.0026819600172127028,0.8432075791038667,0.014020718974449462,0.3649539355789043,0.00025658798910942687,0.47427725138787674,0.01136418292657265,0.2601601686968219,0.01162253241777704,0.6358690530481883,0.01796805356219823,0.4892754268854089,0.005677677820888528,0.3651879336311212,0.000281435366223816,0.4895483766145626,0.010033516674286013,0.3248803171800706,0.0032936100582177143,0.3281234294401748,0.00743528744584313,0.24476858231773577,0.0022346051186906543,0.36487753682141644,4.416523947510579e-05,0.4847346544879388,0.0036470757858963216,0.21091572643458395,0.003498602202969662,0.7470142808394987,0.0037964664231116842,0.5623217056295033,0.00299829166170077,0.3649337510095001,3.116298167587989e-05,0.47141178777978776,0.003131051655646727,0.2691304912957432,0.002930590341341558,0.6117936648468643,0.004819718005248494,0.47360785135994854,0.0020842024911834765,0.36487788253699965,6.75535403552653e-05,0.4982620988404955,0.009680940475652891,0.25203143130511235,0.008034532009431704,0.6258238108910713,0.01301826475948343,0.45830832636044,0.005362368475893033,0.36497143388806313,9.895739670332098e-05,0.5466763282890813,0.0032869735659432644,0.2769747261365729,0.0016906825767778661,0.4887132210355471,0.0030810624273246642,0.3262736836797385,0.00026820435532661077,0.6876863434567108,0.000991967422469803,0.2082399461845804,0.00023806724423919274
LogisticRegression,EO,0.6108094181649796,0.02427889061126545,0.10856236935654981,0.006513701609203148,0.08821747151876891,0.009304489828895915,0.2801491655216481,0.0541221833455874,0.9244618924678095,0.1829379863413675,0.5534795438981203,0.0568002567869482,0.6757228188067625,0.04413351214110661,0.4362990222880418,0.0700506995022508,0.5995651444691448,0.02410182435614834,0.4892754268854089,0.005677677820888528,0.48350221696407286,0.06920509571332804,0.6285722046859453,0.0708305189160961,0.43648888178431877,0.06929640475335894,0.3195623478078087,0.011778363150061378,0.24476858231773577,0.0022346051186906543,0.5920645863206226,0.06490610162352593,0.7138705191621666,0.06194315190669816,0.43551999731392366,0.06998046633961141,0.6796555183360282,0.01695713628451879,0.5623217056295033,0.00299829166170077,0.5378456622818318,0.06702265332525668,0.6500800974520924,0.06308361121017318,0.4368882683823296,0.07013479339164716,0.5742469435301839,0.013871105939596444,0.47360785135994854,0.0020842024911834765,0.5550246134243049,0.0691072419838288,0.6970990508835895,0.06972508721193392,0.434781253642024,0.07029252647878226,0.5773831661017959,0.018802785720850725,0.45830832636044,0.005362368475893033,0.5223023017588034,0.06342192813459929,0.6999184797008002,0.05103237986436307,0.43628567945886,0.06951884863954123,0.43965657129956365,0.020093497122378862,0.3262736836797385,0.00026820435532661077,0.6876863434567108,0.000991967422469803,0.2082399461845804,0.00023806724423919274
LogisticRegression,OCF,0.6639622438929574,0.00037739211638436877,0.31752842988991026,0.0035383272135902076,0.3348014196595061,0.009209415065544693,0.0003566428307546496,0.00039450870858076065,0.0008029162205813734,0.0008537688028308597,0.4892754268854089,0.005677677820888528,0.6104575435142284,0.01098505523239175,0.3731623454484059,0.009779692114054408,0.6104575435142284,0.01098505523239175,0.4892754268854089,0.005677677820888528,0.24486083324024502,0.002304753471725192,0.3522836284106107,0.0062138867070520125,0.21005177861410776,0.0031304716973927452,0.3521492169856396,0.006060621749396405,0.24476858231773577,0.0022346051186906543,0.5623892631301554,0.0030660413227791405,0.6870850480701168,0.006520413256020829,0.40216819960216227,0.007543282482091687,0.6870030472527697,0.0065296503135357,0.5623217056295033,0.00299829166170077,0.47389077601773877,0.0022279669872740725,0.5873444779087553,0.004751803895039509,0.37181379863482505,0.004989635665661953,0.5869977671517631,0.005120685744284375,0.47360785135994854,0.0020842024911834765,0.45830832636044,0.005362368475893033,0.6031541498945832,0.016766891981387363,0.3357685411335627,0.014360644389493032,0.6031541498945832,0.016766891981387363,0.45830832636044,0.005362368475893033,0.32633212442999093,0.0002909802344744489,0.5022225697547538,0.002659110955800735,0.24115068026159311,0.0011652768087377782,0.5021327722274038,0.002680109711456981,0.3262736836797385,0.00026820435532661077,0.6876863434567108,0.000991967422469803,0.2082399461845804,0.00023806724423919274
LogisticRegression,Unmitigated,0.6610131193063783,0.0005739949588115304,0.1962435184832084,0.007443809832958944,0.19648104301258768,0.015106296094131794,0.3362112826633534,0.012619234797880179,1.10841420831075,0.03504390492763895,0.42494036284772213,0.007746599031702623,0.5428544042292778,0.014942840685329506,0.31200826548171634,0.012608611642300482,0.6250175285613444,0.013959076665947897,0.4892754268854089,0.005677677820888528,0.47807579574883297,0.01222688272178609,0.6157987028102749,0.011214161725766144,0.43343682044404297,0.01316035649433167,0.31536223238782446,0.005238117416142022,0.24476858231773577,0.0022346051186906543,0.4749149404410577,0.003893317341739632,0.603629579544197,0.0032849154840807596,0.30959004801683754,0.008584325390007305,0.7147462573359287,0.004941583309422737,0.5623217056295033,0.00299829166170077,0.5178583640645886,0.006257181900341402,0.6313188505137762,0.006481588984644027,0.41578282858780324,0.007329087347564096,0.5773898758875516,0.00342095116497168,0.47360785135994854,0.0020842024911834765,0.45441306887372857,0.006072055241526273,0.5985110928201622,0.02091409720864347,0.33252128297112094,0.007471270470809929,0.6034533871485058,0.013865435052396824,0.45830832636044,0.005362368475893033,0.3216148455813802,0.001192517456277291,0.4964270631601046,0.001952884593263893,0.23695577743145524,0.002106097511700847,0.5036265882156081,0.003014613201166759,0.3262736836797385,0.00026820435532661077,0.6876863434567108,0.000991967422469803,0.2082399461845804,0.00023806724423919274
MLP,Calibration,0.6876898730171033,0.0010403924018258718,0.5918511112262099,0.022785027377694507,0.7009764357233033,0.03567564856414699,0.3094509743610906,0.023091085170420425,1.0343098374707222,0.07754684671148139,0.482595153732335,0.08264842738913922,0.6138741037920193,0.08348154678439229,0.356919049687067,0.08440654310494662,0.6278022117324522,0.03587185795272837,0.4892754268854089,0.005677677820888528,0.014081182457447055,0.012720056917773656,0.03307621057843493,0.027515451423596876,0.007912315247329327,0.008097206242735614,0.6073399669436255,0.07853657166095267,0.24476858231773577,0.0022346051186906543,0.605932293683657,0.012118315498280298,0.7340526463017383,0.009226689341119332,0.44132767533255796,0.018181703922153535,0.6813376911069954,0.007757502184373391,0.5623217056295033,0.00299829166170077,0.4252465430773884,0.035366599113120054,0.5550704848578006,0.04063852495604859,0.30845102525707546,0.031033622246325714,0.618770079897448,0.00811907093622514,0.47360785135994854,0.0020842024911834765,0.4414766991615585,0.037806461886717074,0.5905839494335418,0.0413126308170736,0.31533034234177426,0.04053563050137896,0.6142946658843785,0.02270513250470296,0.45830832636044,0.005362368475893033,0.13946846057856227,0.010199024050969235,0.25474540614063185,0.01497300415469249,0.08364365529015726,0.007997540960389165,0.5966109548120981,0.009762512287722597,0.3262736836797385,0.00026820435532661077,0.6966036703813906,0.0007627857462753875,0.2060064803456516,0.000303902761004106
MLP,DP,0.6574213308510318,0.0009547834980052407,0.0006866472570324911,0.0005966138638362783,0.11441942165819725,0.004580573032731018,0.25541758361380207,0.002454249810149609,0.8422915419611918,0.013150869829985602,0.3649539355789043,0.00025658798910942687,0.4770730365196564,0.008569009917035334,0.25760556725697464,0.007744910964507214,0.6395280684573753,0.010597337934223239,0.4892754268854089,0.005677677820888528,0.3650943444874618,0.00024953424632621164,0.4972226618382223,0.0077045001885391266,0.3222810634785739,0.002334777610948351,0.3333335307075771,0.004967243343152373,0.24476858231773577,0.0022346051186906543,0.36517579697054653,0.0005951765475261672,0.48762056226911693,0.0040933904104331065,0.2078616418203766,0.004592356504200988,0.7508593757169411,0.006165592791657193,0.5623217056295033,0.00299829166170077,0.3649338690999522,5.309925978288981e-05,0.48806096516801195,0.003663268135252251,0.2541520787507509,0.0033371292190580476,0.6333991942426916,0.005294691478577891,0.47360785135994854,0.0020842024911834765,0.36487788253699965,6.75535403552653e-05,0.4998929113312577,0.015448310086713424,0.2506084878501206,0.013201788387091207,0.6279061135273395,0.020902010236172375,0.45830832636044,0.005362368475893033,0.364899137163709,1.801215848672424e-05,0.5518171295614721,0.002949549395553139,0.27437780932580724,0.0014331756480614592,0.4934061623312063,0.002706958744371299,0.3262736836797385,0.00026820435532661077,0.6966036703813906,0.0007627857462753875,0.2060064803456516,0.000303902761004106
MLP,EO,0.6291797949999011,0.015618366246382274,0.11841191040543038,0.008841420481469908,0.10672581578620866,0.015283820365368236,0.24588639024549636,0.03706274557421447,0.8108660234620079,0.12238478281116891,0.5161003551916845,0.04631551360265321,0.6424236797724114,0.042228232427103406,0.3951713783785647,0.04947280571931277,0.6102748070310384,0.013037470506650715,0.4892754268854089,0.005677677820888528,0.44244142666095065,0.04990345447651508,0.5873547003775375,0.056121377858501534,0.3954864041657694,0.04815352015012393,0.32561235546864875,0.00766476751611626,0.24476858231773577,0.0022346051186906543,0.5608533370663811,0.04905966429846908,0.6914484798836542,0.04946295468431396,0.39305050039895706,0.05055435543467514,0.6943121373908087,0.014938694980425778,0.5623217056295033,0.00299829166170077,0.5105459256919422,0.04633632966712595,0.6402981533032142,0.04167974422942635,0.3938107583504592,0.05060796057123113,0.5953883074311241,0.015707208994380273,0.47360785135994854,0.0020842024911834765,0.518320552149829,0.05202852046575149,0.6647554872213832,0.061498133015461774,0.3944806082108246,0.04720235161415357,0.5884103506066766,0.014087755513597958,0.45830832636044,0.005362368475893033,0.4848617273669601,0.049059505765885865,0.6738455769965536,0.04514301905482674,0.39334021140132513,0.05099517541608289,0.4550572322663714,0.01606109474141434,0.3262736836797385,0.00026820435532661077,0.6966036703813906,0.0007627857462753875,0.2060064803456516,0.000303902761004106
MLP,OCF,0.6687479028367519,0.0006792772702083085,0.3173489902492014,0.004109133428464289,0.3367224873134459,0.012856289240871788,0.0009414190557763913,0.0007764763208630828,0.002702986911462357,0.0026318995625020138,0.4892754268854089,0.005677677820888528,0.6131187856747017,0.011054409002775684,0.37070745026549745,0.012793104530540915,0.6131187856747017,0.011054409002775684,0.4892754268854089,0.005677677820888528,0.2451375860077727,0.0025837308919592337,0.3569348532918141,0.009344728906789185,0.20891264995338443,0.0039490866961722736,0.3563918517463482,0.008919728279055218,0.24476858231773577,0.0022346051186906543,0.5624865762569742,0.002941233568654166,0.69365734060526,0.004401623481721646,0.3939742378458241,0.005940400242198425,0.6934524798446292,0.004212534636671849,0.5623217056295033,0.00299829166170077,0.4737266736259348,0.001946672919693299,0.602888115651197,0.005524618377488773,0.35752747402731266,0.00562340378530786,0.6027359024647921,0.0054978366305495855,0.47360785135994854,0.0020842024911834765,0.4584462336669611,0.005380731392348616,0.603780561623591,0.01661384914630735,0.33547621697309815,0.013928453669862206,0.6036006293129627,0.01666090646321391,0.45830832636044,0.005362368475893033,0.32654191669957033,0.0005366685373914554,0.507809172002907,0.0020955098227922724,0.238756951901863,0.0009040113654185757,0.50739199954293,0.001955711861908443,0.3262736836797385,0.00026820435532661077,0.6966036703813906,0.0007627857462753875,0.2060064803456516,0.000303902761004106
MLP,Unmitigated,0.6663525329081175,0.0005796393432816471,0.18353165739796895,0.008382789354362728,0.17434385151661125,0.013422438994616826,0.2922122662406569,0.013246099727793422,0.9829087129493115,0.039913602644411204,0.4295204160636409,0.017636200977941593,0.5463729486200051,0.015159097745868386,0.3175698469829308,0.021863732226763237,0.6227562666677102,0.013012641832457747,0.4892754268854089,0.005677677820888528,0.45218931734618406,0.012883484929171133,0.590638906390088,0.012441825828531447,0.40732659985719577,0.014110400631039214,0.319805910054895,0.0055556515707573,0.24476858231773577,0.0022346051186906543,0.49803800027823514,0.006657933422451657,0.6311978191433825,0.006599337923584608,0.3269738784291719,0.010241016527792529,0.7127095027339692,0.006072996678618438,0.5623217056295033,0.00299829166170077,0.5048027148918026,0.006863083188587138,0.6349768475503014,0.003773926507841463,0.3876890901956261,0.011844537632912561,0.5958208036633448,0.007250398684788386,0.47360785135994854,0.0020842024911834765,0.4582688365766308,0.008676466578399544,0.6027214936317525,0.02128478981282034,0.33602539409394583,0.011339203894755621,0.6026714695310279,0.015788579260605576,0.45830832636044,0.005362368475893033,0.32186476091213695,0.0016420355563831952,0.5022343200437227,0.002845000320416945,0.23451467634064174,0.0015905873464791844,0.509115809611771,0.0019153927700787813,0.3262736836797385,0.00026820435532661077,0.6966036703813906,0.0007627857462753875,0.2060064803456516,0.000303902761004106
