method,accuracy,DPD,EOD,OCF_violation,OCF_violation_ratio_spread,rho_AIAN_NH,TPR_AIAN_NH,FPR_AIAN_NH,PPV_AIAN_NH,pi_AIAN_NH,rho_Asian_NH,TPR_Asian_NH,FPR_Asian_NH,PPV_Asian_NH,pi_Asian_NH,rho_Black_NH,TPR_Black_NH,FPR_Black_NH,PPV_Black_NH,pi_Black_NH,rho_Hispanic,TPR_Hispanic,FPR_Hispanic,PPV_Hispanic,pi_Hispanic,rho_Other_NH,TPR_Other_NH,FPR_Other_NH,PPV_Other_NH,pi_Other_NH,rho_White_NH,TPR_White_NH,FPR_White_NH,PPV_White_NH,pi_White_NH,fold,model,auroc,brier
Unmitigated,0.6719757696023395,0.18266572782715373,0.2068698571033389,0.36255276069303516,1.1644100580270793,0.4008230452674897,0.536723163841808,0.2953216374269006,0.5852156057494866,0.43703703703703706,0.4813942534149788,0.649706457925636,0.4280397022332506,0.324853228962818,0.2406971267074894,0.4448258108803844,0.5725338491295938,0.29944954128440365,0.6851851851851852,0.5323494079286082,0.4903796818881478,0.6111731843575419,0.38780834914611007,0.5723253989013863,0.45920985120574653,0.4602374955019791,0.5915254237288136,0.36335209505941213,0.54573885848319,0.42461317020510975,0.30771395406099405,0.4977238239757208,0.2211698451299117,0.5061728395061729,0.312937493404622,0,LogisticRegression,0.6968660813151397,0.2025838155258214
DP,0.6639729496853704,0.00045913595027102794,0.08325271974698478,0.24703504701936177,0.7934020220525612,0.34897119341563787,0.4689265536723164,0.25584795321637427,0.5872641509433962,0.43703703703703706,0.3485633537447009,0.5088062622309197,0.2977667493796526,0.35135135135135137,0.2406971267074894,0.34854985412733824,0.4622823984526112,0.21908256880733945,0.7060561299852289,0.5323494079286082,0.34851205746536684,0.46089385474860334,0.2530834914611006,0.6072874493927125,0.45920985120574653,0.3486865779057215,0.46864406779661016,0.2601626016260163,0.5706914344685242,0.42461317020510975,0.3485349467093461,0.5441465744955881,0.25943939587866377,0.48857041933693296,0.312937493404622,0,LogisticRegression,0.6968660813151397,0.2025838155258214
EO,0.6190109402334265,0.08768437991609385,0.05644170844915153,0.2912147636435101,0.9352939395201123,0.5440329218106996,0.6836158192090396,0.43567251461988304,0.5491679273827534,0.43703703703703706,0.48327837965143666,0.6614481409001957,0.4267990074441687,0.32943469785575047,0.2406971267074894,0.5709627595675305,0.7008381689232753,0.42311926605504585,0.6534415389239555,0.5323494079286082,0.5306567470497691,0.6567039106145252,0.42362428842504746,0.5682861977278221,0.45920985120574653,0.5282475710687298,0.6686440677966101,0.42464040025015637,0.5374659400544959,0.42461317020510975,0.5148791726757888,0.7131456190636767,0.42457442723665684,0.4334415029888984,0.312937493404622,0,LogisticRegression,0.6968660813151397,0.2025838155258214
Calibration,0.6939084571398731,0.5464472927649084,0.6608456636145357,0.31026038655994453,0.996462732836968,0.43950617283950616,0.591337099811676,0.3216374269005848,0.5880149812734082,0.43703703703703706,0.0131888836552049,0.029354207436399216,0.008064516129032258,0.5357142857142857,0.2406971267074894,0.5596361764201133,0.6901998710509348,0.41100917431192663,0.6565470714504753,0.5323494079286082,0.37352488455618266,0.49022346368715086,0.27443074003795065,0.6026785714285714,0.45920985120574653,0.2101475350845628,0.31440677966101693,0.13320825515947468,0.6352739726027398,0.42461317020510975,0.15807801892433782,0.2912943292305963,0.09740176628695764,0.5766577659101023,0.312937493404622,0,LogisticRegression,0.6968660813151397,0.2025838155258214
OCF,0.6754353899579624,0.29182389611729176,0.2948921281768848,0.00014929687892817597,0.00032237266279833143,0.43703703703703706,0.5875706214689266,0.3201754385964912,0.5875706214689266,0.43703703703703706,0.2406971267074894,0.3679060665362035,0.20037220843672457,0.3679060665362035,0.2406971267074894,0.5325210228247812,0.6627981947130883,0.38422018348623854,0.6625845955526909,0.5323494079286082,0.45920985120574653,0.579050279329609,0.3574478178368121,0.579050279329609,0.45920985120574653,0.42461317020510975,0.5576271186440678,0.32645403377110693,0.5576271186440678,0.42461317020510975,0.312937493404622,0.5046928567414152,0.2255983617048509,0.5046928567414152,0.312937493404622,0,LogisticRegression,0.6968660813151397,0.2025838155258214
Unmitigated,0.6733726729157419,0.18773523072644205,0.22679069767441862,0.3704219463092305,1.1794385672215268,0.434640522875817,0.5845588235294118,0.31470588235294117,0.5977443609022557,0.4444444444444444,0.49489795918367346,0.6365348399246704,0.44861538461538464,0.316776007497657,0.24628942486085342,0.4464500601684717,0.5915627996164909,0.2775297619047619,0.71274547554871,0.5379061371841155,0.4893562121016643,0.6056179775280899,0.390598902409926,0.5684155022409703,0.4592955747645465,0.4425770308123249,0.598896769109535,0.31758034026465026,0.6012658227848101,0.44432773109243695,0.3071627284572314,0.49620697463768115,0.22182468694096602,0.5024362281456004,0.3110187695883368,1,LogisticRegression,0.696802278542604,0.2024231593533263
DP,0.6656701219352986,0.0008994371421843783,0.11004693223443224,0.24122350404008994,0.7680654637769868,0.3488562091503268,0.48713235294117646,0.23823529411764705,0.6206088992974239,0.4444444444444444,0.34879406307977734,0.4839924670433145,0.3046153846153846,0.34175531914893614,0.24628942486085342,0.3486333161423414,0.4809843400447427,0.19456845238095238,0.7421104536489151,0.5379061371841155,0.34860018062185527,0.44803370786516855,0.2641374373657838,0.5903034789045152,0.4592955747645465,0.3494397759103641,0.4996059889676911,0.2293635790800252,0.6352705410821643,0.44432773109243695,0.34854033876817975,0.5456861413043478,0.259545106056734,0.4869411467542309,0.3110187695883368,1,LogisticRegression,0.696802278542604,0.2024231593533263
EO,0.6596386328624768,0.12570633767126804,0.12533494206067924,0.16579921252894678,0.5562887492329504,0.41748366013071897,0.5643382352941176,0.3,0.6007827788649707,0.4444444444444444,0.34137291280148424,0.4934086629001883,0.2916923076923077,0.35597826086956524,0.24628942486085342,0.4670792504727523,0.6129753914988815,0.29724702380952384,0.7059256532940743,0.5379061371841155,0.38111211456586247,0.48764044943820223,0.29062276306370793,0.5876777251184834,0.4592955747645465,0.42401960784313725,0.5847123719464145,0.295526149968494,0.6127167630057804,0.44432773109243695,0.3854104306792971,0.586333786231884,0.2947099412215691,0.47316003472063595,0.3110187695883368,1,LogisticRegression,0.696802278542604,0.2024231593533263
Calibration,0.6956447949032611,0.44271101942582086,0.5432504021970522,0.24662125573776356,0.8274624939165027,0.4011437908496732,0.5551470588235294,0.27794117647058825,0.615071283095723,0.4444444444444444,0.03571428571428571,0.0847457627118644,0.019692307692307693,0.5844155844155844,0.24628942486085342,0.47842530514010656,0.6279961649089166,0.30431547619047616,0.7060725835429392,0.5379061371841155,0.4466520448974326,0.5615168539325842,0.34908136482939633,0.5774119006354709,0.4592955747645465,0.32703081232493,0.47832939322301027,0.2060491493383743,0.6498929336188437,0.44432773109243695,0.1357361693136599,0.25486865942028986,0.08195757730641452,0.5839927357633934,0.3110187695883368,1,LogisticRegression,0.696802278542604,0.2024231593533263
OCF,0.6757095485521816,0.2902252466460821,0.3112255860521132,0.0017743860646329335,0.005649717514124353,0.4444444444444444,0.5919117647058824,0.3264705882352941,0.5919117647058824,0.4444444444444444,0.24768089053803338,0.3653483992467043,0.20923076923076922,0.36329588014981273,0.24628942486085342,0.5379061371841155,0.6765739852988175,0.37648809523809523,0.6765739852988175,0.5379061371841155,0.4592955747645465,0.5716292134831461,0.3638749701741828,0.5716292134831461,0.4592955747645465,0.44432773109243695,0.6004728132387707,0.31947069943289225,0.6004728132387707,0.44432773109243695,0.3112828819945769,0.501358695652174,0.2254791719907999,0.5009333107076193,0.3110187695883368,1,LogisticRegression,0.696802278542604,0.2024231593533263
