model,method,auroc_mean,accuracy_mean,DPD_mean,EOD_mean,OCF_violation_mean,TPR_Black_NH_mean,rho_Black_NH_mean,d_TPR_Black_NH_vs_unmit
LogisticRegression,Calibration,0.6954387492231884,0.6950027036221991,0.5227910994912625,0.6245319551358856,0.29197847173875113,0.689378395661019,0.5510079209240742,0.10690022964616452
LogisticRegression,DP,0.6954387492231884,0.6643776397428839,0.0005961107131950861,0.09956381439309898,0.24159834320126677,0.47431566409993,0.3485925169893758,-0.10816250191492449
LogisticRegression,EO,0.6954387492231884,0.6225771801778841,0.10287387476973257,0.0853890490966775,0.2581093148970891,0.6978479850038454,0.5623714192122646,0.1153698189889909
LogisticRegression,OCF,0.6954387492231884,0.6744876401296696,0.2876406749824171,0.2996238124354707,0.0004925871493415637,0.6690641407111564,0.5335648557604097,0.08658597469630192
LogisticRegression,Unmitigated,0.6954387492231884,0.6718818090827512,0.18792519829630377,0.21593608295289674,0.3608319684429934,0.5824781660148545,0.4451431861545355,0.0
MLP,Calibration,0.7041707340792698,0.6984022947679243,0.5185261266001125,0.6327769652740983,0.2927475646907055,0.6830921890483257,0.5384592187375477,0.08159509439699952
MLP,DP,0.7041707340792698,0.6689156470627197,0.0006600033699153296,0.09988273967727225,0.24193187764867458,0.47667480102298104,0.3486609231526737,-0.12482229362834513
MLP,EO,0.7041707340792698,0.6322825332875256,0.10889452071907457,0.08993232355041655,0.24653942302949045,0.7002388114787057,0.5571174269806254,0.09874171682737953
MLP,OCF,0.7041707340792698,0.6794199221744087,0.28766352144285245,0.3074090213400632,0.00024015610541457526,0.6757643615840203,0.5334963797757105,0.07426726693269414
MLP,Unmitigated,0.7041707340792698,0.6768532560955431,0.18461662045147012,0.20010937981921603,0.3302454057872529,0.6014970946513262,0.46117873751450544,0.0
RandomForest,Calibration,0.7028987903737939,0.69794274940271,0.5335861590636803,0.6429269214963319,0.30717582123676807,0.668698159383744,0.5212144055803887,0.08221714191603724
RandomForest,DP,0.7028987903737939,0.6679260635553426,0.0004767444446025615,0.09986430951597361,0.2414667679574619,0.47755988544396094,0.34862666999484027,-0.10892113202374581
RandomForest,EO,0.7028987903737939,0.6263814863675854,0.10726124260977002,0.08637756853362857,0.2564684162874067,0.7073530611365456,0.566163059637027,0.12087204366883886
RandomForest,OCF,0.7028987903737939,0.6778167322603528,0.2869966729719269,0.3116696798398894,0.0013328222791274887,0.6777597837496704,0.5335639701778734,0.09127876628196363
RandomForest,Unmitigated,0.7028987903737939,0.6749967967133118,0.21923139854863843,0.22627558935635098,0.37030382524487904,0.5864810174677068,0.44316630738949864,0.0
XGBoost,Calibration,0.7048741689043447,0.698705178249739,0.537064364552249,0.6502814425634843,0.30324075222324637,0.7035746266905972,0.5605959978003233,0.09586941815998407
XGBoost,DP,0.7048741689043447,0.6689809263272805,0.0003722102294875018,0.10145842999233827,0.24150475191962525,0.47666371530522467,0.34855836398391127,-0.1310414932253885
XGBoost,EO,0.7048741689043447,0.6281466856089597,0.1072442435905268,0.08604265268476,0.2558612626074704,0.7081516910595365,0.5674455540582156,0.1004464825289233
XGBoost,OCF,0.7048741689043447,0.6794616989607147,0.2874192218064576,0.30949929896233674,0.0005836075368115592,0.6745546609271452,0.5335305327811751,0.06684945239653206
XGBoost,Unmitigated,0.7048741689043447,0.6774955763112356,0.18200679482517504,0.19923954986477962,0.32505844206584317,0.6077052085306132,0.46609586859560864,0.0
